Client_id,Client_name,Client_Gender,                 age,address,city,province,postalCode,country,Marital_Status,Family_Members,Child_Count,Occupation,Eligible_id,Partner_id
70172,John,Male,58,800 N Canal Blvd,Thibodaux,LA,70301,US,M,,0,,1865,57599
5047,Jennifer,Female,44,800 N Canal Blvd,Thibodaux,LA,70301,US,M,5,3,Laborers,128155,117832
110028,Elisabeth,Female,33,206 Wears Valley Rd,Pigeon Forge,TN,37863,US,M,2,0,Managers,105927,28108
24026,LisaRoxanne,Male,47,3652 Parkway,Pigeon Forge,TN,37863,US,S,1,0,,222,128149
119299,Laura,Female,33,2118 Mt Zion Parkway,Morrow,GA,30260,US,M,2,0,Managers,92936,82717
111157,Chris,Male,35,9768 Grand River Ave,Detroit,MI,48204,US,S,1,0,,35353,95463
82113,Garon,Female,28,13600 W McNichols Rd,Detroit,MI,48235,US,M,2,0,Core,86225,45792
96462,Shunichi,Male,42,4111 Oceanside Blvd,Oceanside,CA,92056,US,W,1,0,Laborers,64887,3474
79485,MaryEllen,Female,58,162 Old Country Rd,Riverhead,NY,11901,US,M,2,0,Laborers,64165,100221
65725,Ben,Female,43,1407 S Stockton Ave,Monahans,TX,79756,US,M,2,0,Laborers,83213,49753
34991,Lena,Male,41,208 W Mason St,Mabank,TX,75147,US,M,2,0,Laborers,122110,129375
51412,Kate,Male,29,5801 Highway 6,Missouri City,TX,77459,US,M,2,0,Managers,61623,117971
98628,Laurie,Female,53,3454 Manchester Rd,Akron,OH,44319,US,M,2,0,Drivers,72396,116528
83502,Claudio,Male,58,1500 E Main St,Eastland,TX,76448,US,M,2,0,,70312,120981
95789,Alina,Male,57,1190 W Foothill Blvd,Azusa,CA,91702,US,M,2,0,,9981,107554
100580,Allen & Irina,Female,51,601 N Main St,Summerville,SC,29483,US,M,2,0,Drivers,120859,36133
71142,Jane,Female,45,1927 Woodville Road,Oregon,OH,43616,US,M,2,0,IT,55157,101879
127461,Doti,Male,57,6316 W 89th St,Los Angeles,CA,90045,US,M,2,0,Core,106109,27276
70354,Adam And Charity,Male,60,3105 Highway 80 E,Pearl,MS,39208,US,M,3,1,Accountants,26752,69004
66246,Sing,Male,33,2860 E Paris Ave SE,Grand Rapids,MI,49512,US,D,1,0,Sales,98476,17535
39076,Chaya,Male,28,2424 E State Road 44,Shelbyville,IN,46176,US,M,2,0,High skill tech,74378,50372
22434,Lisel,Male,56,1611 Broadway,Brooklyn,NY,11207,US,W,1,0,Cleaning,78372,16523
43510,Lisel,Male,32,1720 Walton Way,Augusta,GA,30904,US,M,2,0,Cooking,101711,34188
114090,Lisel,Male,25,17620 Grand River Ave,Detroit,MI,48227,US,S,1,0,,96505,60406
105420,Nathalie,Male,40,196 Massachusetts Ave,Arlington,MA,2474,US,S,1,0,Security,104428,50050
102956,Gregory,Male,44,1224 State St,Schenectady,NY,12304,US,M,2,0,,47516,71801
18510,Claude & Sophie,Male,39,1232 Ulster Ave,Kingston,NY,12401,US,W,1,0,,108550,75200
14925,Tommi,Male,52,1188 Avenue of The Americas,New York,NY,10036,US,D,3,2,,45953,90229
118319,Shon,Female,46,114 Delancey St,New York,NY,10002,US,M,2,0,,98319,96758
75460,Dana,Female,36,1050 Front St,Uniondale,NY,11553,US,M,3,1,Drivers,76088,81235
48492,Ssameer Or Trip,Female,57,105 Jericho Tpke,Jericho,NY,11753,US,,2,0,High skill tech,14284,67012
27809,Teri,Male,49,105 Jericho Tpke,Jericho,NY,11753,US,W,1,0,Managers,28302,61304
70594,Andrea,Male,60,106 Wolf Rd,Albany,NY,12205,US,W,1,0,,71351,106241
30089,Ssameer Or Trip,Female,59,101 E 170th St,Bronx,NY,10452,US,M,2,0,Drivers,87727,41296
58779,Angela,Female,51,103 Brookview Dr,Schenectady,NY,12303,US,S,1,0,Sales,17136,83853
79659,Laurie,Female,57,1028 Mckinley Pkwy,Buffalo,NY,14220,US,M,3,1,Drivers,91208,44490
110293,Vt,Male,25,10 Main St,Tonawanda,NY,14150,US,W,1,0,,124112,6450
48014,Tyrome,Male,53,300 Mishawum Rd,Woburn,MA,1801,US,M,4,2,Core,80730,31361
96517,Harriet,Male,36,1190 Providence Rd,Whitinsville,MA,1588,US,M,2,0,Medicine,49273,62001
64685,Ben,Male,37,212 Main St,Wilmington,MA,1887,US,S,1,0,Core,115301,43329
64138,Edward,Male,44,44 E Main St,Webster,MA,1570,US,M,2,0,Sales,38587,114189
60373,Abdul,Male,50,789 Main St,Waltham,MA,2451,US,S,1,0,,87895,24068
14849,Yolande,Female,60,20 Main St,Townsend,MA,1469,US,M,2,0,Drivers,85512,44018
28319,Cyn,Male,54,595 Main St,Walpole,MA,2081,US,M,2,0,,33650,97653
103012,Earl,Male,58,282 Winthrop St,Taunton,MA,2780,US,M,2,0,,39121,116837
124114,Rana,Male,36,660 Liberty St,Springfield,MA,1104,US,M,3,1,Laborers,76459,127908
107794,Orestes,Male,58,360 Main St,Springfield,MA,1105,US,M,2,0,,63517,42569
81983,Adreinne,Female,44,2392 Main St,Springfield,MA,1107,US,M,3,1,Drivers,32978,104873
53164,Jennifer,Male,55,1402 Allen St,Springfield,MA,1118,US,M,2,0,,25626,79108
82042,Alexander,Male,29,1610 Boston Rd,Springfield,MA,1129,US,M,2,0,,45085,73139
72127,JT And Tiziana,Male,54,59 W Main St,Spencer,MA,1562,US,M,2,0,,81104,35228
113046,Joya,Male,48,59 W Main St,Spencer,MA,1562,US,M,2,0,,85455,71924
1050,James,Male,32,1433 SW 107th Ave,Miami,FL,33174,US,S,2,1,,52535,87793
54886,Jeanne,Female,42,1601 W Kirby St,Wylie,TX,75098,US,M,2,0,Laborers,72721,4061
125918,Francesca,Male,24,7425 S Broadway Ave,Tyler,TX,75703,US,M,3,1,Core,38533,82730
7467,Joanna,Female,38,100 Business Loop 70 E,Columbia,MO,65203,US,S,1,0,,75763,42507
78972,Bianca,Male,38,615 Martin Luther King Jr Blvd,Savannah,GA,31401,US,M,2,0,Managers,125885,37585
126625,Luiz,Male,47,1123 Roswell Rd,Marietta,GA,30062,US,S,1,0,Accountants,9697,68634
114501,Andrea,Male,40,273 Keys Ferry St,McDonough,GA,30253,US,M,2,0,Sales,84424,45159
114813,Ted,Female,46,1117 W Spring St,Monroe,GA,30655,US,M,2,0,,39713,91505
32167,Cristina,Female,32,430 S Belair Rd,Augusta,GA,30907,US,M,2,0,,125081,48396
68001,Petra,Male,53,2341 N Columbia St,Milledgeville,GA,31061,US,S,1,0,,13429,20153
117052,D,Male,57,260 Cooper Rd,Loganville,GA,30052,US,M,2,0,,49169,69938
8661,Dimitri,Female,33,4331 Atlanta Hwy,Loganville,GA,30052,US,M,2,0,,58012,23078
57165,Patricia,Male,49,3015 Panola Rd,Lithonia,GA,30038,US,M,2,0,Laborers,48541,16883
78610,Mark,Female,51,184 Endicott St,Danvers,MA,1923,US,M,2,0,,9576,78467
51058,Sara,Male,60,1291 Boston Rd,Springfield,MA,1119,US,M,2,0,Sales,127620,52263
92027,Reka,Male,59,6134 State Route 14,Ravenna,OH,44266,US,M,3,1,Accountants,362,1890
115534,Daniel,Female,55,4402 Little Rd,Arlington,TX,76016,US,S,,1,Laborers,116816,128368
9261,Casey,Male,35,15 Highland Ave,Attleboro,MA,2703,US,W,1,0,,9280,52807
61033,Robin,Male,57,2992 Jamacha Rd,El Cajon,CA,92019,US,M,3,1,Laborers,126460,14019
75930,Anna,Male,31,706 Fletcher Pkwy,El Cajon,CA,92020,US,S,2,1,,21007,70507
112142,Enzo,Female,54,706 Fletcher Pkwy,El Cajon,CA,92020,US,M,3,1,Managers,106002,101476
24518,Tye And Etienne,Male,55,822 N Johnson Ave,El Cajon,CA,92020,US,W,1,0,Cooking,98853,57735
112524,George,Male,43,2819 Easton Rd,Willow Grove,PA,19090,US,M,2,0,,60466,36529
101639,Josh,Male,53,8924 Sierra Ave,Fontana,CA,92335,US,M,2,0,,83911,105533
85018,Victoria,Male,44,18025 Ventura Blvd,Encino,CA,91316,US,M,2,0,,1213,34254
106922,Justin,Female,55,242 N El Camino Real,Encinitas,CA,92024,US,M,3,1,Laborers,24846,73908
32564,Blaise,Male,49,9002 Firestone Blvd,Downey,CA,90241,US,M,2,0,Accountants,90099,11481
92242,DAVID And RICK,Male,55,9110 Imperial Hwy,Downey,CA,90242,US,M,2,0,Medicine,83621,67322
73302,Lul̼,Male,45,962 Garnet Ave,San Diego,CA,92109,US,M,5,3,,3215,11545
42267,Sybilla,Male,47,7011 Barker Cypress Rd,Cypress,TX,77433,US,M,2,0,,75851,78444
121358,JoLynn,Male,42,7011 Barker Cypress Rd,Cypress,TX,77433,US,D,1,0,Cleaning,20964,121339
65655,Gaia,Male,59,2180 Contra Costa Blvd,Pleasant Hill,CA,94523,US,S,1,0,,12857,48556
88062,Ana,Male,46,3035 Castro Valley Blvd,Castro Valley,CA,94546,US,M,2,0,,88182,48025
91330,Maggie,Male,51,4302 Moorpark Ave,San Jose,CA,95129,US,M,2,0,Sales,88281,14531
22031,Starlee,Male,56,1751 S Alameda St,Compton,CA,90220,US,M,3,1,Security,81892,119364
27921,Edward,Male,41,2244 Otay Lakes Rd,Chula Vista,CA,91915,US,M,3,1,,16365,35899
51947,Pas,Female,46,962 East Ave,Chico,CA,95926,US,M,2,0,Laborers,47143,77935
40017,Lul̼,Male,57,1170 W Branch St,Arroyo Grande,CA,93420,US,D,1,0,,17182,122466
76392,Augustin,Female,42,73196 Highway 111,Palm Desert,CA,92260,US,M,2,0,Cleaning,95099,67682
118486,Sean & Lynette,Male,30,20900 Roscoe Blvd,Canoga Park,CA,91304,US,M,2,0,Laborers,77341,466
6012,Erica,Male,60,1760 41st Ave,Capitola,CA,95010,US,M,2,0,,3422,98021
30183,Tracy,Male,60,401 Las Posas Rd,Camarillo,CA,93010,US,M,4,2,Core,129224,64126
41652,Christiana,Female,57,2871 Lenwood Rd,Barstow,CA,92311,US,M,3,1,Laborers,71699,95200
15138,Tyrome,Male,36,12690 Ramona Blvd,Baldwin Park,CA,91706,US,M,2,0,Core,37245,30189
123589,Dana,Female,55,1210 N Hacienda Blvd,La Puente,CA,91744,US,,2,0,,99182,86892
114534,Elliott,Female,60,562 N Main St,Bishop,CA,93514,US,M,3,1,,214,85149
93076,Olan,Female,39,1310 E Lamar St,Americus,GA,31709,US,M,2,0,,3820,48128
96963,Shelly,Female,46,2009 E Greenville St,Anderson,SC,29621,US,M,2,0,Laborers,38596,89679
85494,Ssameer Or Trip,Male,44,2521 W Commonwealth Ave,Alhambra,CA,91803,US,M,2,0,Sales,8770,80347
72989,Annette,Male,53,3450 Wrightsboro Rd Ste 2340,Augusta,GA,30909,US,S,1,0,Drivers,122252,129806
42357,Meka,Male,52,810 Oak Ave,Neoga,IL,62447,US,W,1,0,,31408,102738
23040,Ann,Male,59,701 S Van Buren St,Newton,IL,62448,US,M,2,0,Cooking,109888,74852
65420,Seth,Male,27,9175 De Soto Ave,Chatsworth,CA,91311,US,M,2,0,Core,62782,19273
65045,Brenda,Male,44,328 N Main St,Cedartown,GA,30125,US,M,2,0,Sales,13958,110785
37373,Shelly,Male,47,3025 Main St,Glastonbury,CT,6033,US,M,2,0,Sales,32537,82712
44405,Erik,Male,34,2834 Main St,Glastonbury,CT,6033,US,M,2,0,,129411,118282
16653,Dena,Male,59,605 E Broadway St,Campbellsville,KY,42718,US,M,,2,Core,63763,72434
71655,Jessica,Female,45,1602 E Broadway St,Campbellsville,KY,42718,US,M,,2,Laborers,4561,68351
77591,Luiz,Male,29,1475 Holiday Ln,Fairfield,CA,94534,US,M,3,1,Security,4835,116430
4585,Erica,Male,46,1442 Winchester Ave,Ashland,KY,41101,US,S,1,0,High skill tech,18164,115854
108347,Sally,Female,56,12759 Us Route 60,Ashland,KY,41102,US,M,2,0,,50311,16723
23400,Dani,Male,36,1439 S US Highway 1,Fort Pierce,FL,34950,US,M,2,0,,37466,55899
